,Date,Open,High,Low,Close,Volume,Change
0,2021-06-11,18000,19300,14900,15200,11998246,
1,2021-06-14,14900,15300,14600,14600,1503893,-0.03947368421052633
2,2021-06-15,14750,15150,14300,14300,1911795,-0.020547945205479423
3,2021-06-16,14400,14550,14250,14400,740474,0.006993006993007089
4,2021-06-17,14500,14700,14350,14350,885126,-0.00347222222222221
5,2021-06-18,14400,14700,14300,14450,787964,0.006968641114982521
6,2021-06-21,14350,14450,14100,14250,551583,-0.01384083044982698
7,2021-06-22,14400,14650,14200,14200,650066,-0.0035087719298245723
8,2021-06-23,14250,14250,13900,14000,491694,-0.014084507042253502
9,2021-06-24,14000,14000,13700,13750,421716,-0.017857142857142905
10,2021-06-25,13850,14000,13750,13800,273429,0.0036363636363636598
11,2021-06-28,13800,14150,13800,13900,241621,0.007246376811594235
12,2021-06-29,14000,14150,13900,13900,171208,0.0
13,2021-06-30,14000,14000,13850,14000,134884,0.007194244604316502
14,2021-07-01,14000,14000,13800,13850,184348,-0.010714285714285676
15,2021-07-02,14000,14650,13900,14400,776511,0.03971119133573997
16,2021-07-05,14550,14600,14200,14300,318079,-0.00694444444444442
17,2021-07-06,14450,14450,14200,14300,182682,0.0
18,2021-07-07,14300,14300,14000,14100,257934,-0.013986013986013957
19,2021-07-08,14100,14100,13850,13950,211261,-0.010638297872340385
20,2021-07-09,13800,13900,13700,13850,236525,-0.007168458781361964
21,2021-07-12,13900,14000,13750,13850,192595,0.0
22,2021-07-13,13850,14550,13850,14450,602621,0.04332129963898912
23,2021-07-14,14600,15100,14300,14950,907981,0.03460207612456756
24,2021-07-15,15100,15400,14950,15300,941210,0.02341137123745818
25,2021-07-16,15550,16000,15100,15400,1097485,0.006535947712418277
26,2021-07-19,15500,15750,15000,15250,498261,-0.009740259740259716
27,2021-07-20,14900,15150,14600,14750,508229,-0.032786885245901676
28,2021-07-21,14950,15000,14750,14850,210748,0.006779661016949046
29,2021-07-22,14900,15450,14750,14950,641112,0.006734006734006703
30,2021-07-23,14950,15400,14900,15050,392645,0.006688963210702337
31,2021-07-26,15200,15350,14800,14800,350371,-0.01661129568106312
32,2021-07-27,14800,15300,14750,14850,292167,0.0033783783783782884
33,2021-07-28,14750,15350,14700,15150,529020,0.02020202020202011
34,2021-07-29,15400,16850,15300,15650,5132861,0.03300330033003296
35,2021-07-30,15850,16200,15250,16000,1059825,0.022364217252396124
36,2021-08-02,16300,16650,15700,15700,1015725,-0.018750000000000044
37,2021-08-03,15700,16200,15400,15850,783717,0.009554140127388644
38,2021-08-04,15800,15950,15400,15650,354225,-0.012618296529968487
39,2021-08-05,15800,15850,15450,15500,491186,-0.009584664536741228
40,2021-08-06,15500,15700,15350,15350,250358,-0.009677419354838679
41,2021-08-09,15500,15900,15250,15850,520688,0.032573289902280145
42,2021-08-10,15950,16300,15500,15600,609926,-0.01577287066246058
43,2021-08-11,15600,15650,14800,14850,504349,-0.04807692307692313
44,2021-08-12,14700,15200,14700,14850,279660,0.0
45,2021-08-13,14800,15400,14700,14950,507713,0.006734006734006703
46,2021-08-17,15050,15100,14350,14350,367097,-0.04013377926421402
47,2021-08-18,14350,14800,14250,14450,168067,0.006968641114982521
48,2021-08-19,14400,14600,13900,14000,251167,-0.03114186851211076
49,2021-08-20,14050,14200,13700,13800,196853,-0.014285714285714235
50,2021-08-23,13850,14300,13750,13800,268113,0.0
51,2021-08-24,14000,14250,13900,14150,227319,0.0253623188405796
52,2021-08-25,14300,14300,13900,14050,173067,-0.007067137809187329
53,2021-08-26,14050,14100,13900,13900,144277,-0.010676156583629859
54,2021-08-27,13900,14100,13750,14000,121275,0.007194244604316502
55,2021-08-30,14200,14200,13900,14100,135612,0.0071428571428571175
56,2021-08-31,14050,14150,13850,14100,136895,0.0
57,2021-09-01,14000,14100,13950,14050,101527,-0.0035460992907800915
58,2021-09-02,14100,14150,13850,13950,134012,-0.007117437722419906
59,2021-09-03,13950,14150,13900,14150,126828,0.014336917562723928
60,2021-09-06,14200,14200,14000,14100,78126,-0.0035335689045936647
61,2021-09-07,14050,14100,13900,14100,90858,0.0
62,2021-09-08,14000,14050,13900,13900,107677,-0.014184397163120588
63,2021-09-09,13850,14000,13800,13800,95504,-0.007194244604316502
64,2021-09-10,13850,14000,13750,13900,136315,0.007246376811594235
65,2021-09-13,13800,13850,13100,13100,441756,-0.05755395683453235
66,2021-09-14,13150,13350,13050,13250,107458,0.011450381679389388
67,2021-09-15,13300,13300,13100,13150,94659,-0.007547169811320753
68,2021-09-16,13150,13250,12900,13000,144803,-0.011406844106463865
69,2021-09-17,13000,13100,12650,13100,140763,0.007692307692307665
70,2021-09-23,12800,12900,12650,12750,93286,-0.026717557251908386
71,2021-09-24,12850,13000,12600,12600,103788,-0.0117647058823529
72,2021-09-27,12600,12600,12300,12400,95604,-0.015873015873015928
73,2021-09-28,12400,12400,11700,11850,245510,-0.04435483870967738
74,2021-09-29,11400,11700,11300,11550,174243,-0.025316455696202556
75,2021-09-30,11450,11800,11350,11400,104801,-0.012987012987012991
76,2021-10-01,11400,11400,10900,11050,165670,-0.030701754385964897
77,2021-10-05,10850,10850,10300,10500,183296,-0.04977375565610864
