,Date,Open,High,Low,Close,Volume,Change
0,2021-05-21,2075,2120,2045,2100,9331212,
1,2021-05-24,2110,2290,2110,2205,3965268,0.050000000000000044
2,2021-05-25,2210,2270,2160,2205,1431315,0.0
3,2021-05-26,2245,2245,2170,2195,1147157,-0.0045351473922902175
4,2021-05-27,2210,2300,2200,2270,1602216,0.034168564920273425
5,2021-05-28,2295,2445,2270,2390,2983295,0.052863436123347984
6,2021-05-31,2500,2570,2315,2470,8108065,0.03347280334728042
7,2021-06-01,2490,2540,2230,2270,5365638,-0.08097165991902833
8,2021-06-02,2285,2285,2140,2180,2004736,-0.03964757709251099
9,2021-06-03,2220,2225,2165,2195,643565,0.006880733944954143
10,2021-06-04,2180,2225,2160,2170,544700,-0.011389521640091105
11,2021-06-07,2160,2195,2120,2135,732138,-0.016129032258064502
12,2021-06-08,2125,2160,2100,2155,602717,0.00936768149882905
13,2021-06-09,2155,2175,2140,2160,253993,0.002320185614849146
14,2021-06-10,2160,2210,2155,2200,389095,0.0185185185185186
15,2021-06-11,2200,2205,2170,2175,243754,-0.011363636363636354
16,2021-06-14,2175,2190,2155,2170,138711,-0.0022988505747126853
17,2021-06-15,2170,2175,2150,2160,215867,-0.004608294930875556
18,2021-06-16,2160,2160,2145,2160,192383,0.0
19,2021-06-17,2170,2205,2150,2195,445736,0.01620370370370372
20,2021-06-18,2195,2200,2175,2175,219479,-0.009111617312072884
21,2021-06-21,2180,2275,2175,2210,901324,0.016091954022988464
22,2021-06-22,2190,2210,2180,2185,218964,-0.011312217194570096
23,2021-06-23,2185,2190,2170,2170,150184,-0.006864988558352381
24,2021-06-24,2200,2215,2175,2195,239514,0.011520737327188835
25,2021-06-25,2195,2200,2175,2180,300686,-0.006833712984054663
26,2021-06-28,2165,2180,2165,2175,140852,-0.002293577981651418
27,2021-06-29,2175,2175,2155,2165,257791,-0.0045977011494252595
28,2021-06-30,2160,2170,2155,2170,152888,0.002309468822170979
29,2021-07-01,2165,2170,2160,2170,96131,0.0
30,2021-07-02,2170,2180,2165,2170,176689,0.0
31,2021-07-05,2170,2210,2165,2200,277202,0.01382488479262678
32,2021-07-06,2205,2205,2185,2190,225472,-0.004545454545454519
33,2021-07-07,2190,2400,2170,2230,6171951,0.0182648401826484
34,2021-07-08,2245,2260,2185,2195,797493,-0.015695067264574036
35,2021-07-09,2195,2220,2180,2185,652417,-0.004555808656036442
36,2021-07-12,2185,2245,2185,2220,460837,0.016018306636155666
37,2021-07-13,2210,2320,2200,2290,1904248,0.03153153153153143
38,2021-07-14,2300,2320,2260,2300,980102,0.004366812227074135
39,2021-07-15,2290,2315,2235,2240,1041809,-0.02608695652173909
40,2021-07-16,2250,2250,2215,2230,467411,-0.004464285714285698
41,2021-07-19,2230,2245,2215,2230,462342,0.0
42,2021-07-20,2225,2235,2210,2210,393690,-0.008968609865470878
43,2021-07-21,2210,2225,2200,2210,327839,0.0
44,2021-07-22,2200,2225,2190,2220,279537,0.004524886877828038
45,2021-07-23,2220,2240,2200,2225,188190,0.0022522522522523403
46,2021-07-26,2220,2250,2220,2245,230557,0.008988764044943753
47,2021-07-27,2245,2275,2220,2250,552502,0.00222717149220486
48,2021-07-28,2260,2260,2225,2255,233545,0.0022222222222221255
49,2021-07-29,2250,2250,2230,2235,226639,-0.008869179600886956
50,2021-07-30,2220,2245,2220,2225,190421,-0.004474272930648726
51,2021-08-02,2220,2235,2210,2225,161906,0.0
52,2021-08-03,2225,2240,2210,2225,286068,0.0
53,2021-08-04,2220,2240,2215,2230,304541,0.0022471910112360494
54,2021-08-05,2240,2245,2220,2230,190086,0.0
55,2021-08-06,2220,2255,2215,2235,308315,0.0022421524663676085
56,2021-08-09,2230,2240,2215,2220,210077,-0.006711409395973145
57,2021-08-10,2220,2225,2210,2210,360528,-0.0045045045045044585
58,2021-08-11,2205,2225,2205,2215,181245,0.002262443438914019
59,2021-08-12,2215,2225,2210,2220,160644,0.0022573363431150906
60,2021-08-13,2220,2220,2200,2220,281665,0.0
61,2021-08-17,2220,2220,2200,2205,234831,-0.006756756756756799
62,2021-08-18,2210,2215,2195,2210,331028,0.0022675736961450532
63,2021-08-19,2200,2210,2185,2195,429944,-0.006787330316742057
64,2021-08-20,2205,2205,2180,2190,400490,-0.002277904328018221
65,2021-08-23,2200,2205,2185,2200,146028,0.004566210045662045
66,2021-08-24,2205,2210,2200,2205,159728,0.002272727272727204
67,2021-08-25,2205,2240,2205,2230,396851,0.01133786848072571
68,2021-08-26,2225,2265,2210,2230,488395,0.0
69,2021-08-27,2235,2250,2230,2245,306193,0.006726457399103047
70,2021-08-30,2245,2245,2215,2225,199431,-0.008908685968819552
71,2021-08-31,2235,2235,2215,2220,144921,-0.0022471910112359383
72,2021-09-01,2220,2230,2210,2225,132410,0.0022522522522523403
73,2021-09-02,2220,2230,2215,2220,98353,-0.0022471910112359383
74,2021-09-03,2220,2225,2215,2225,102153,0.0022522522522523403
75,2021-09-06,2225,2235,2210,2215,95444,-0.004494382022471877
76,2021-09-07,2230,2230,2210,2220,147172,0.0022573363431150906
77,2021-09-08,2215,2225,2215,2215,75332,-0.0022522522522522292
78,2021-09-09,2210,2240,2205,2220,203829,0.0022573363431150906
79,2021-09-10,2230,2230,2210,2215,71813,-0.0022522522522522292
80,2021-09-13,2215,2215,2185,2210,173452,-0.0022573363431150906
81,2021-09-14,2205,2210,2185,2200,272882,-0.004524886877828038
82,2021-09-15,2200,2200,2185,2200,110875,0.0
83,2021-09-16,2200,2200,2180,2185,53518,-0.006818181818181834
84,2021-09-17,2200,2200,2180,2180,73503,-0.0022883295194507935
85,2021-09-23,2175,2190,2165,2180,159190,0.0
86,2021-09-24,2180,2190,2170,2185,98507,0.002293577981651307
87,2021-09-27,2180,2180,2155,2170,204605,-0.006864988558352381
88,2021-09-28,2160,2165,2145,2145,227932,-0.011520737327188946
89,2021-09-29,2145,2150,2130,2150,212925,0.002331002331002363
90,2021-09-30,2160,2160,2150,2160,76878,0.0046511627906977715
91,2021-10-01,2145,2160,2140,2155,126850,-0.0023148148148147696
92,2021-10-05,2130,2140,2100,2110,286264,-0.02088167053364265
93,2021-10-06,2120,2120,2090,2095,167089,-0.007109004739336511
94,2021-10-07,2095,2110,2085,2085,170223,-0.004773269689737458
95,2021-10-08,2085,2100,2085,2090,59363,0.0023980815347721673
96,2021-10-12,2110,2110,2080,2090,44932,0.0
97,2021-10-13,2085,2105,2085,2105,59343,0.0071770334928229484
98,2021-10-14,2105,2125,2105,2125,15957,0.009501187648456089
99,2021-10-15,2125,2135,2110,2135,42883,0.004705882352941115
100,2021-10-18,2135,2180,2085,2110,151012,-0.011709601873536313
101,2021-10-19,2110,2115,2080,2115,125501,0.0023696682464455776
102,2021-10-20,2115,2115,2090,2095,57972,-0.009456264775413725
103,2021-10-21,2100,2105,2090,2090,55533,-0.0023866348448687846
104,2021-10-22,2095,2105,2090,2095,88504,0.0023923444976077235
105,2021-10-25,2105,2105,2090,2095,41968,0.0
106,2021-10-26,2095,2120,2080,2095,213685,0.0
107,2021-10-27,2100,2115,2090,2110,121263,0.007159904534606243
108,2021-10-28,2100,2105,2090,2095,29510,-0.007109004739336511
109,2021-10-29,2095,2100,2085,2095,92695,0.0
110,2021-11-01,2090,2100,2080,2095,171711,0.0
111,2021-11-02,2085,2105,2080,2100,77918,0.0023866348448686736
112,2021-11-03,2100,2105,2090,2100,70850,0.0
113,2021-11-04,2100,2100,2085,2085,115537,-0.0071428571428571175
114,2021-11-05,2095,2105,2085,2100,89955,0.007194244604316502
115,2021-11-08,2095,2100,2085,2090,50653,-0.004761904761904745
116,2021-11-09,2095,2100,2085,2100,123873,0.004784688995215225
117,2021-11-10,2100,2105,2090,2090,103702,-0.004761904761904745
118,2021-11-11,2095,2100,2085,2090,48963,0.0
119,2021-11-12,2095,2100,2085,2095,40669,0.0023923444976077235
120,2021-11-15,2095,2095,2085,2085,59865,-0.004773269689737458
121,2021-11-16,2085,2095,2080,2095,68846,0.004796163069544335
122,2021-11-17,2095,2095,2080,2090,73167,-0.0023866348448687846
123,2021-11-18,2090,2095,2080,2090,83046,0.0
124,2021-11-19,2085,2095,2080,2085,97608,-0.0023923444976076125
125,2021-11-22,2085,2095,2075,2085,137125,0.0
126,2021-11-23,2080,2110,2075,2090,102987,0.0023980815347721673
127,2021-11-24,2085,2095,2080,2085,51363,-0.0023923444976076125
128,2021-11-25,2085,2095,2080,2095,68678,0.004796163069544335
129,2021-11-26,2080,2090,2080,2085,43989,-0.004773269689737458
130,2021-11-29,2075,2090,2075,2085,92325,0.0
131,2021-11-30,2085,2090,2070,2075,114619,-0.004796163069544335
132,2021-12-01,2070,2080,2065,2075,89776,0.0
133,2021-12-02,2070,2085,2070,2085,66168,0.004819277108433662
134,2021-12-03,2090,2090,2065,2075,37558,-0.004796163069544335
135,2021-12-06,2070,2075,2060,2075,250856,0.0
136,2021-12-07,2070,2075,2055,2070,218104,-0.002409638554216831
137,2021-12-08,2070,2075,2065,2070,111452,0.0
138,2021-12-09,2070,2080,2060,2080,125417,0.004830917874396157
139,2021-12-10,2070,2080,2065,2080,63844,0.0
140,2021-12-13,2070,2080,2070,2080,67374,0.0
141,2021-12-14,2070,2080,2065,2075,206374,-0.0024038461538461453
142,2021-12-15,2075,2080,2060,2080,75562,0.002409638554216942
143,2021-12-16,2070,2080,2060,2065,422705,-0.007211538461538436
144,2021-12-17,2075,2075,2060,2070,70044,0.002421307506053294
145,2021-12-20,2065,2075,2060,2070,98589,0.0
146,2021-12-21,2065,2070,2060,2070,187811,0.0
147,2021-12-22,2065,2070,2050,2065,302388,-0.0024154589371980784
148,2021-12-23,2060,2070,2055,2070,185958,0.002421307506053294
149,2021-12-24,2070,2070,2060,2070,144946,0.0
150,2021-12-27,2065,2070,2060,2060,77362,-0.004830917874396157
151,2021-12-28,2060,2065,2060,2060,76907,0.0
152,2021-12-29,2065,2065,2060,2065,45634,0.0024271844660195274
153,2021-12-30,2065,2070,2055,2065,111624,0.0
154,2022-01-03,2065,2070,2045,2070,248024,0.002421307506053294
155,2022-01-04,2075,2075,2060,2070,84036,0.0
